candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체,사회적기업,사회적협동조합,자활용사촌복지공장,생산품목매칭,매칭방식,비고
40,4710160801,유기응집제,1074471440,1074471440,선경에스엔티,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
41,4710160801,유기응집제,4038183209,4038183209,탑아이티 주식회사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
42,4710160801,유기응집제,8062001161,8062001161,거성산업,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
43,4710160801,유기응집제,7390302693,7390302693,대한시스텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
44,4710160801,유기응집제,5088138412,5088138412,"농업회사법인디엔에이주식회사(D.N.A. Co., Ltd)",N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
45,4710160801,유기응집제,1222645933,1222645933,디자인 청호,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
46,4710160801,유기응집제,1790200940,1790200940,필 글로벌(PHIL GLOBAL),N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
47,4710160801,유기응집제,4344300627,4344300627,대산이엔지,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
48,4710160801,유기응집제,2838102688,2838102688,주식회사 비젼바이오,N,Y,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
49,4710160801,유기응집제,5331002128,5331002128,시지에이치,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
50,4710160801,유기응집제,1138163993,1138163993,한성중공업(주),N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
51,4111331901,기타수질분석기,1148604783,1148604783,써모피셔사이언티픽솔루션스 유한회사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
52,4111331901,기타수질분석기,6218701961,6218701961,주식회사이지랩,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
53,4111331901,기타수질분석기,2108159349,2108159349,주식회사 피디원 (PDONE),N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
54,4111331901,기타수질분석기,1728603252,1728603252,주식회사 리즈너스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
55,4111331901,기타수질분석기,1308123448,1308123448,호리바코리아(주),N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
56,4111331901,기타수질분석기,2068627654,2068627654,주식회사 원캐스트,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
57,4111331901,기타수질분석기,5938702267,5938702267,주식회사 이솔사이언스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
58,4111331901,기타수질분석기,2078802795,2078802795,주식회사 클라우드소프트,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
59,4111331901,기타수질분석기,1348121423,1348121423,주식회사 서전기전,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
60,4111331901,기타수질분석기,8235600263,8235600263,제이퍼블리코,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
61,4111331901,기타수질분석기,2824900315,2824900315,서울우유 신안동 고객센터,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
62,4111331901,기타수질분석기,7600201935,7600201935,남양우유신안동가정대리점,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
63,4111331901,기타수질분석기,2852501641,2852501641,유니플러스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
64,4111331901,기타수질분석기,3328802499,3328802499,주식회사 루트텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
65,4111331901,기타수질분석기,6168157632,6168157632,주식회사 대은계전,N,Y,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
66,4111331901,기타수질분석기,2568802462,2568802462,주식회사 연승,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
67,4111331901,기타수질분석기,2051667999,2051667999,만선테크,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
68,4111331901,기타수질분석기,5151604381,5151604381,연택테크,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
69,4111331901,기타수질분석기,3658800905,3658800905,주식회사 가나이엔지,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
70,4111331901,기타수질분석기,5118127226,5118127226,주식회사 마크온탑,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
71,4111331901,기타수질분석기,6200244688,6200244688,피앤에스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
72,4111331901,기타수질분석기,2188101953,2188101953,주식회사 비츠로시스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
73,4111331901,기타수질분석기,6348600656,6348600656,주식회사비전제어시스템,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
