candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체,낙찰건수,최근낙찰건수,최근낙찰일,평균낙찰금액,낙찰금액합계,부정당제재,제재횟수,현재제재여부,제재종료일,매칭방식,비고
189,4710160802,무기응집제,1868702400,1868702400,주식회사 그린아이앤티,N,N,13,2,2025-06-10,68391582,889090570.0,,,,,원천_사업자번호집계,
190,4710160802,무기응집제,2372201447,2372201447,제이에스씨 코퍼레이션,N,N,13,5,2025-12-30,50522266,656789460.0,,,,,원천_사업자번호집계,
191,4710160802,무기응집제,1058739873,1058739873,신풍종합개발 주식회사,N,N,13,3,2025-03-27,36823732,478708519.0,,,,,원천_사업자번호집계,
192,4710160802,무기응집제,7048802729,7048802729,에스클래스주식회사,N,N,12,,2024-12-31,60864214,730370570.0,,,,,원천_사업자번호집계,
193,4710160802,무기응집제,1081832612,1081832612,에이치아이엠,N,N,12,1,2025-02-18,43413200,520958400.0,,,,,원천_사업자번호집계,
194,4710160802,무기응집제,2840702041,2840702041,대원,N,N,12,3,2025-08-22,39232083,470785000.0,,,,,원천_사업자번호집계,
195,4710160802,무기응집제,1664901007,1664901007,비키,N,N,11,2,2025-05-26,176218626,1938404887.01,,,,,원천_사업자번호집계,
196,4710160802,무기응집제,2218116734,2218116734,(주)용두애브컴,Y,N,11,5,2025-11-21,137410952,1511520470.0,,,,,원천_사업자번호집계,
197,4710160802,무기응집제,6211381305,6211381305,대림로어패럴,N,N,11,6,2025-10-23,92964491,1022609405.77,,,,,원천_사업자번호집계,
198,4710160802,무기응집제,4131501117,4131501117,부농,N,N,11,4,2025-08-07,41686775,458554524.56,,,,,원천_사업자번호집계,
199,4710160802,무기응집제,1078738448,1078738448,(주) 정토산업,N,N,11,3,2025-12-10,10778455,118563000.0,,,,,원천_사업자번호집계,
200,4710160802,무기응집제,4448101663,4448101663,주식회사 지엔씨,N,N,10,,2024-03-27,174039681,1740396809.0,,,,,원천_사업자번호집계,
201,4710169801,수처리용여과재,4178105425,4178105425,우석이엔지 주식회사,N,N,125,22,2025-06-09,82237258,10279657240.0,,,,,원천_사업자번호집계,
202,4710169801,수처리용여과재,2201501330,2201501330,태정,N,N,66,17,2025-12-01,61770383,4076845258.62,,,,,원천_사업자번호집계,
203,4710169801,수처리용여과재,4188153158,4188153158,주식회사 신성씨엔에스,N,N,63,18,2025-12-16,54730869,3448044748.0,,,,,원천_사업자번호집계,
204,4710169801,수처리용여과재,1861501398,1861501398,제이에이치테크,N,N,48,12,2025-12-22,60151747,2887283840.0,,,,,원천_사업자번호집계,
205,4710169801,수처리용여과재,4038104830,4038104830,주식회사 대성안전개발,N,N,43,15,2025-12-17,52899485,2274677839.0,,,,,원천_사업자번호집계,
206,4710169801,수처리용여과재,6088601170,6088601170,케이원산업 주식회사,N,N,38,9,2025-12-30,20749726,788489572.26,,,,,원천_사업자번호집계,
207,4710169801,수처리용여과재,2521201281,2521201281,에이디 커머스,N,N,37,9,2025-11-24,35807812,1324889059.0,,,,,원천_사업자번호집계,
208,4710169801,수처리용여과재,2650101980,2650101980,경기모아상사,N,N,31,14,2025-12-16,121275156,3759529847.3,,,,,원천_사업자번호집계,
209,4710169801,수처리용여과재,1700702117,1700702117,에스앤디,N,N,30,5,2025-12-01,32241101,967233030.0,,,,,원천_사업자번호집계,
210,4710169801,수처리용여과재,2568802462,2568802462,주식회사 연승,N,N,29,,2024-02-02,163722359,4747948400.0,,,,,원천_사업자번호집계,
211,4710169801,수처리용여과재,6068659002,6068659002,(주)씨앤씨솔루션,N,N,28,5,2025-12-26,77263891,2163388938.0,,,,,원천_사업자번호집계,
212,4710169801,수처리용여과재,5118127226,5118127226,주식회사 마크온탑,N,N,27,7,2025-11-11,101554183,2741962939.6,,,,,원천_사업자번호집계,
213,4710169801,수처리용여과재,8878102928,8878102928,주식회사 제이디폼,N,N,27,2,2025-07-23,83500934,2254525225.85,,,,,원천_사업자번호집계,
214,4710169801,수처리용여과재,1698101874,1698101874,(유)아성개발,N,N,26,6,2025-12-31,59107380,1536791890.0,,,,,원천_사업자번호집계,
215,4710169801,수처리용여과재,6835400773,6835400773,삼우,N,N,26,8,2025-12-17,37785993,982435810.0,,,,,원천_사업자번호집계,
216,4710169801,수처리용여과재,7820901711,7820901711,모아테크,Y,N,25,7,2025-10-27,140564705,3514117621.0,,,,,원천_사업자번호집계,
217,4710169801,수처리용여과재,1168170950,1168170950,삼천리활성탄소(주),Y,N,24,8,2025-12-08,692117255,16610814130.12,,,,,원천_사업자번호집계,
218,4710169801,수처리용여과재,8062001161,8062001161,거성산업,N,N,23,2,2025-12-05,42605431,979924902.0,,,,,원천_사업자번호집계,
219,4710169801,수처리용여과재,1982100388,1982100388,제이케이컴퍼니,N,N,21,4,2025-09-25,127622019,2680062394.79,,,,,원천_사업자번호집계,
220,4710169801,수처리용여과재,4121425031,4121425031,건아,N,N,21,4,2025-12-04,65157268,1368302637.7,,,,,원천_사업자번호집계,
221,4710169801,수처리용여과재,2903101270,2903101270,다인에스티,N,N,21,9,2025-11-03,63779850,1339376860.0,,,,,원천_사업자번호집계,
