candidate_id,물품번호,물품명,사업자번호_정규화,업체명,물품별_AI순위,전체_AI순위,AI예측점수,규칙기반_균형형_물품별순위,규칙기반_균형형_전체순위,규칙기반_균형형점수,대표물품,제조업체,낙찰건수,최근낙찰건수,부정당제재,현재제재여부,창업기업,장애인표준사업장
37,4710160801,유기응집제,7498801586,(주)에이치비바이오,5,31,0.459573,47,247,17.7285,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0
168,4710160802,무기응집제,2838102688,주식회사 비젼바이오,1,4,0.880517,7,96,24.8814,0.0,1.0,22.0,11.0,0.0,0.0,0.0,0.0
199,4710160802,무기응집제,1078738448,(주) 정토산업,2,24,0.628508,48,418,10.4949,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0
179,4710160802,무기응집제,5038128637,(주)로얄정공,3,27,0.530034,17,189,20.1044,0.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0
154,4710160802,무기응집제,1178186004,주식회사 와풀,4,56,0.298209,2,40,28.7681,0.0,0.0,44.0,16.0,0.0,0.0,0.0,0.0
172,4710160802,무기응집제,4018700204,(주)도원에코텍,5,68,0.2163,20,198,19.8104,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0
222,4710169801,수처리용여과재,2068610605,케이원에코텍 주식회사,1,3,0.895763,8,76,26.6382,0.0,1.0,20.0,7.0,0.0,0.0,0.0,0.0
217,4710169801,수처리용여과재,1168170950,삼천리활성탄소(주),2,7,0.823284,4,37,28.8031,1.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0
206,4710169801,수처리용여과재,6088601170,케이원산업 주식회사,3,62,0.239201,11,133,23.2226,0.0,0.0,38.0,9.0,0.0,0.0,0.0,0.0
212,4710169801,수처리용여과재,5118127226,주식회사 마크온탑,4,114,0.101859,14,158,21.9629,0.0,0.0,27.0,7.0,0.0,0.0,0.0,0.0
241,4710169801,수처리용여과재,1141708314,미성엔지니어링,5,125,0.072161,32,278,16.8088,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0
