candidate_id,물품번호,물품명,사업자번호_정규화,업체명,물품별_AI순위,전체_AI순위,AI예측점수,규칙기반_균형형_물품별순위,규칙기반_균형형_전체순위,규칙기반_균형형점수,대표물품,제조업체,낙찰건수,최근낙찰건수,부정당제재,현재제재여부,창업기업,장애인표준사업장
316,4010160101,송풍기,7810302068,에이스건설산업,41,383,0.004418,13,99,24.6919,0.0,0.0,39.0,9.0,0.0,0.0,0.0,0.0
312,4010160101,송풍기,6978702327,주식회사 크리스탈소프트,42,385,0.004405,8,77,26.3449,0.0,0.0,45.0,12.0,0.0,0.0,0.0,0.0
329,4010160101,송풍기,5323701365,케이엘컴퍼니,43,397,0.004006,26,192,19.9531,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0
318,4010160101,송풍기,3328802499,주식회사 루트텍,44,399,0.003959,25,184,20.168,0.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0
339,4010160101,송풍기,3061864998,에스코,45,404,0.003934,40,291,16.4033,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0
345,4010160101,송풍기,5073600534,엔젤테크,46,413,0.003817,32,257,17.3613,0.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0
346,4010160101,송풍기,6502401417,선유통,47,416,0.003772,38,285,16.4893,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0
319,4010160101,송풍기,6870700558,에스엠제이,48,418,0.00373,23,163,21.8745,0.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0
315,4010160101,송풍기,2078802795,주식회사 클라우드소프트,49,421,0.003652,14,106,24.2491,0.0,0.0,41.0,7.0,0.0,0.0,0.0,0.0
341,4010160101,송풍기,2011525821,주앤주,50,446,0.003225,34,268,17.1078,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0
462,4014169401,제수밸브,6502401417,선유통,1,162,0.029296,12,288,16.4893,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0
486,4014169401,제수밸브,7180103124,제이와이시스템,2,212,0.015885,32,401,11.267,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0
500,4014169401,제수밸브,3253301264,미정유통,3,226,0.014232,38,427,10.2252,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0
473,4014169401,제수밸브,1084674027,한컴퍼니,4,230,0.013841,17,331,14.4996,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0
459,4014169401,제수밸브,3294700944,우주유통,5,242,0.011808,10,252,17.5379,0.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0
491,4014169401,제수밸브,6276300509,이루리,6,247,0.011026,39,434,9.8374,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
467,4014169401,제수밸브,4031435175,세화,7,250,0.01082,14,308,15.6784,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0
451,4014169401,제수밸브,8278602014,주식회사 혼정보통신,8,252,0.010787,1,36,29.2088,0.0,0.0,69.0,10.0,0.0,0.0,0.0,0.0
453,4014169401,제수밸브,6978702327,주식회사 크리스탈소프트,9,264,0.009479,2,78,26.3449,0.0,0.0,45.0,12.0,0.0,0.0,0.0,0.0
452,4014169401,제수밸브,7278602368,주식회사 숨,10,265,0.009371,3,91,25.2084,0.0,0.0,48.0,6.0,0.0,0.0,0.0,0.0
471,4014169401,제수밸브,5494300900,심이유통,11,273,0.008828,24,374,12.433,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0
454,4014169401,제수밸브,2078802795,주식회사 클라우드소프트,12,285,0.007775,4,107,24.2491,0.0,0.0,41.0,7.0,0.0,0.0,0.0,0.0
477,4014169401,제수밸브,5500201944,엔와이씨(NYC),13,306,0.006817,25,375,12.3286,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0
488,4014169401,제수밸브,4530901680,케이시라,14,307,0.006754,37,424,10.2342,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
479,4014169401,제수밸브,2963400907,재이컴퍼니,15,308,0.006747,27,381,11.8274,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0
489,4014169401,제수밸브,4801701799,와이에스컴퍼니,16,314,0.006384,35,414,10.8301,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
466,4014169401,제수밸브,4410801337,엔플,17,319,0.006261,13,293,16.3055,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0
496,4014169401,제수밸브,7850902363,레몬,18,324,0.006126,43,453,8.9043,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
478,4014169401,제수밸브,4991402199,제이에이치물산,19,325,0.006095,33,403,11.1619,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0
482,4014169401,제수밸브,3201402122,나도상사,20,332,0.005709,41,441,9.4749,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0
468,4014169401,제수밸브,3303500956,제이유컴퍼니,21,334,0.00564,21,351,13.631,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0
493,4014169401,제수밸브,6083693694,재동상사,22,335,0.005616,34,410,10.8549,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
474,4014169401,제수밸브,6850301723,대호컴퍼니,23,336,0.0056,18,337,14.2645,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0
457,4014169401,제수밸브,1222645933,디자인 청호,24,344,0.005354,6,197,19.8193,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0
461,4014169401,제수밸브,6068623843,주식회사 태원엠티,25,348,0.005274,7,231,18.3316,0.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0
481,4014169401,제수밸브,7035400363,그린유통,26,360,0.004881,40,438,9.5987,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0
495,4014169401,제수밸브,2292003061,엘라시스템,27,364,0.0048,47,464,8.1518,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
485,4014169401,제수밸브,2338601340,창조토건주식회사,28,368,0.0047,29,384,11.7402,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0
472,4014169401,제수밸브,7022701500,골드굿즈,29,389,0.004193,20,345,14.0233,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0
456,4014169401,제수밸브,8022301103,엔에이치물산,30,391,0.004163,11,255,17.3968,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0
458,4014169401,제수밸브,4552701341,선양인터,31,392,0.004163,8,237,18.0498,0.0,0.0,22.0,5.0,0.0,0.0,0.0,0.0
492,4014169401,제수밸브,6945900481,비앤와이컴퍼니,32,395,0.004044,46,458,8.4281,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
484,4014169401,제수밸브,7245500542,씨지테크,33,400,0.003959,31,394,11.4591,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
480,4014169401,제수밸브,7761201564,솜이네,34,412,0.003824,28,382,11.7958,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0
483,4014169401,제수밸브,4154400910,히또컴퍼니,35,422,0.003651,36,421,10.3309,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0
476,4014169401,제수밸브,3081801330,봄상사,36,426,0.003527,30,386,11.7084,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
464,4014169401,제수밸브,6132721977,나이스컴퍼니,37,429,0.003511,19,342,14.0959,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0
497,4014169401,제수밸브,5081296304,달란트(talent)상사,38,434,0.003443,45,456,8.4644,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
470,4014169401,제수밸브,2876200380,고호상사,39,436,0.003396,22,361,13.168,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0
460,4014169401,제수밸브,2608603243,주식회사 와이에스제이,40,447,0.003199,9,241,17.9349,0.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0
494,4014169401,제수밸브,8472101169,대일컴퍼니,41,451,0.003103,49,490,6.1798,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
499,4014169401,제수밸브,4164200700,건영,42,456,0.003021,50,491,5.8313,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
465,4014169401,제수밸브,8800301895,베어영컴퍼니,43,457,0.002918,15,318,15.1801,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0
490,4014169401,제수밸브,3973600790,레버너스,44,458,0.002918,44,455,8.7867,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
469,4014169401,제수밸브,8466000619,정욱,45,463,0.00286,16,323,14.8174,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0
475,4014169401,제수밸브,2111395806,에그코리아,46,468,0.002804,26,379,12.0312,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0
498,4014169401,제수밸브,2362501649,영재유통,47,472,0.002712,48,470,7.9429,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
487,4014169401,제수밸브,6803001364,아프로플러스,48,478,0.002563,42,448,9.1688,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0
455,4014169401,제수밸브,3328802499,주식회사 루트텍,49,493,0.002124,5,186,20.168,0.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0
463,4014169401,제수밸브,2791401150,가우정인,50,498,0.001878,23,366,12.9232,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0
