물품별_AI순위,전체_AI순위,candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,AI예측점수,대표물품,제조업체,공급품목등록후_경과일수,공급품목등록후_경과일수_log,업체_등록품목수,업체_동일대분류등록수,업체_동일분류공급품목수,업체_동일중분류등록수,업체_동일소분류등록수,업체_대표물품등록수,업체_제조품목등록수,품목_공급업체수,품목_대표물품업체수,품목_제조업체수,품목_제조업체비율,품목_대표물품비율,품목_평균참가업체수,품목_평균참가업체수_log,품목_경쟁강도,이전전체낙찰건수,이전동일품목낙찰건수,해당물품_과거낙찰건수,이전동일대분류낙찰건수,최근365일낙찰건수,최근낙찰일_경과일수,최근낙찰일_경과일수_log,이전낙찰금액합계_log,참가업체수_log,물품번호_prefix2,물품번호_prefix4,물품번호_prefix6,창업기업,장애인표준사업장,사회적기업,부정당제재,제재종료후_경과일수,제재종료후_경과일수_log
13,241,340,4010160101,송풍기,8891000019,8891000019,동행상사,0.012045,0.0,0.0,383.0,5.950642552587727,154.0,8.0,4.0,4.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,18.0,0.0,0.0,0.0,2.0,183.0,5.214935757608986,20.268259466114905,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
14,254,328,4010160101,송풍기,2273001106,2273001106,서이트레이드,0.010589,0.0,0.0,1114.0,7.016609683894219,385.0,19.0,6.0,6.0,1.0,6.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,25.0,0.0,0.0,0.0,10.0,156.0,5.056245805348308,21.808402134622703,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
15,284,332,4010160101,송풍기,1218641961,1218641961,주식회사 이안코리아,0.00789,0.0,0.0,1116.0,7.018401799069201,142.0,5.0,2.0,2.0,1.0,0.0,51.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,19.0,0.0,0.0,0.0,1.0,145.0,4.983606621708336,22.09862390699156,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
16,294,307,4010160101,송풍기,7394000782,7394000782,더원컴퍼니,0.007468,0.0,0.0,1111.0,7.013915474810528,355.0,13.0,3.0,3.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,51.0,0.0,0.0,1.0,1.0,323.0,5.780743515792329,21.923790094980987,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
17,297,330,4010160101,송풍기,2068693703,2068693703,(주)원포인트 듀오,0.007353,0.0,0.0,1114.0,7.016609683894219,169.0,5.0,3.0,3.0,1.0,0.0,21.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,23.0,0.0,0.0,0.0,6.0,137.0,4.927253685157205,20.88693703882531,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
18,300,342,4010160101,송풍기,1218186809,1218186809,(주)씨티원서비스,0.007177,0.0,0.0,1114.0,7.016609683894219,358.0,14.0,4.0,4.0,1.0,9.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,17.0,0.0,0.0,1.0,0.0,501.0,6.218600119691729,21.49733424009571,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
19,302,327,4010160101,송풍기,2166700331,2166700331,디오세이프티(DO SAFETY),0.006949,0.0,0.0,1114.0,7.016609683894219,113.0,3.0,2.0,2.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,26.0,0.0,0.0,0.0,3.0,165.0,5.111987788356544,21.05476175075794,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
20,303,313,4010160101,송풍기,6122552599,6122552599,안가,0.006942,0.0,0.0,1116.0,7.018401799069201,456.0,17.0,6.0,6.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,42.0,0.0,0.0,0.0,10.0,143.0,4.969813299576001,22.152199330031827,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
21,312,333,4010160101,송풍기,2803701009,2803701009,오성,0.00661,0.0,0.0,1114.0,7.016609683894219,127.0,8.0,3.0,3.0,1.0,1.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,19.0,0.0,0.0,0.0,1.0,355.0,5.87493073085203,21.65578388052157,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
22,313,309,4010160101,송풍기,4858601669,4858601669,주식회사 모아텍,0.006586,0.0,0.0,1114.0,7.016609683894219,401.0,19.0,7.0,7.0,2.0,8.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,47.0,0.0,0.0,0.0,5.0,155.0,5.049856007249537,22.43652595380409,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
